Date,Open,High,Low,Close,Volume
2020-11-23,5675.0,5975.0,5625.0,5900.0,82536100
2020-11-24,5975.0,5975.0,5900.0,5950.0,61987700
2020-11-25,6000.0,6175.0,6000.0,6050.0,101206400
2020-11-26,6050.0,6350.0,6025.0,6300.0,66773100
2020-11-27,6300.0,6375.0,6200.0,6350.0,64918200
2020-11-30,6350.0,6350.0,5950.0,6000.0,160407100
2020-12-01,6075.0,6250.0,5925.0,6250.0,99785300
2020-12-02,6300.0,6375.0,6200.0,6350.0,51993700
2020-12-03,6375.0,6500.0,6300.0,6350.0,64150200
2020-12-04,6325.0,6425.0,6200.0,6350.0,43911700
2020-12-07,6500.0,6675.0,6450.0,6650.0,60637400
2020-12-08,6650.0,6700.0,6550.0,6650.0,35168700
2020-12-10,6650.0,6700.0,6575.0,6600.0,48708000
2020-12-11,6650.0,6700.0,6550.0,6575.0,31359300
2020-12-14,6575.0,6625.0,6450.0,6575.0,59192800
2020-12-15,6525.0,6550.0,6450.0,6500.0,41754100
2020-12-16,6550.0,6675.0,6550.0,6675.0,49319600
2020-12-17,6700.0,6750.0,6600.0,6675.0,40740400
2020-12-18,6625.0,6700.0,6600.0,6650.0,28185700
2020-12-21,6675.0,6725.0,6575.0,6600.0,34247400
2020-12-22,6525.0,6575.0,6275.0,6300.0,63705800
2020-12-23,6300.0,6425.0,5950.0,6250.0,55527400
2020-12-28,6400.0,6450.0,6150.0,6450.0,30958700
2020-12-29,6450.0,6475.0,6250.0,6300.0,25868300
2020-12-30,6300.0,6350.0,6150.0,6175.0,38240000
2021-01-04,6250.0,6400.0,6100.0,6375.0,40855700
2021-01-05,6400.0,6500.0,6300.0,6500.0,34254600
2021-01-06,6525.0,6550.0,6200.0,6400.0,37149800
2021-01-07,6475.0,6500.0,6350.0,6425.0,37069400
2021-01-08,6425.0,6500.0,6375.0,6475.0,36413400
2021-01-11,6475.0,6600.0,6450.0,6525.0,74679600
2021-01-12,6600.0,6675.0,6475.0,6500.0,60240600
2021-01-13,6525.0,6600.0,6475.0,6525.0,42309100
2021-01-14,6525.0,6600.0,6425.0,6450.0,34196200
2021-01-15,6450.0,6500.0,6250.0,6325.0,52804900
2021-01-18,6300.0,6375.0,6200.0,6300.0,40420300
2021-01-19,6300.0,6375.0,6150.0,6225.0,44440600
2021-01-20,6200.0,6475.0,6200.0,6425.0,54829000
2021-01-21,6500.0,6575.0,6425.0,6425.0,29795600
2021-01-22,6400.0,6450.0,6250.0,6275.0,44748000
2021-01-25,6275.0,6300.0,6125.0,6225.0,31400800
2021-01-26,6225.0,6275.0,6000.0,6075.0,47379900
2021-01-27,6075.0,6100.0,5825.0,5975.0,60536800
2021-01-28,5800.0,5950.0,5700.0,5775.0,52841100
2021-01-29,5800.0,5975.0,5450.0,5550.0,77904600
2021-02-01,5550.0,5875.0,5250.0,5850.0,76658800
2021-02-02,5875.0,6050.0,5850.0,5900.0,56885900
2021-02-03,6050.0,6400.0,5975.0,6300.0,119776800
2021-02-04,6325.0,6350.0,6175.0,6275.0,50131100
2021-02-05,6350.0,6375.0,6225.0,6300.0,23030100
2021-02-08,6300.0,6375.0,6275.0,6300.0,22425700
2021-02-09,6275.0,6400.0,6200.0,6225.0,43128700
2021-02-10,6225.0,6275.0,6150.0,6200.0,15012100
2021-02-11,6250.0,6250.0,6150.0,6200.0,13331500
2021-02-15,6250.0,6325.0,6175.0,6225.0,26533500
2021-02-16,6250.0,6375.0,6175.0,6350.0,37910600
2021-02-17,6375.0,6400.0,6150.0,6150.0,44943100
2021-02-18,6100.0,6200.0,6000.0,6025.0,32197800
2021-02-19,6000.0,6050.0,5925.0,6000.0,25762800
2021-02-22,6000.0,6075.0,5925.0,5925.0,34736100
2021-02-23,5925.0,6000.0,5900.0,5950.0,19163800
2021-02-24,5975.0,6100.0,5975.0,6075.0,31161800
2021-02-25,6150.0,6200.0,6075.0,6075.0,34208200
2021-02-26,5950.0,6100.0,5925.0,5950.0,67508500
2021-03-01,6000.0,6225.0,5975.0,6225.0,41194400
2021-03-02,6275.0,6300.0,6100.0,6150.0,28559600
2021-03-03,6150.0,6200.0,6025.0,6025.0,32427500
2021-03-04,6025.0,6075.0,5975.0,6000.0,17683400
2021-03-05,5900.0,6050.0,5875.0,6000.0,24103600
2021-03-08,6075.0,6100.0,6000.0,6000.0,12368900
2021-03-09,6075.0,6100.0,5925.0,5975.0,21660000
2021-03-10,6025.0,6100.0,5950.0,6050.0,15467500
2021-03-12,6125.0,6200.0,6050.0,6150.0,37498600
2021-03-15,6200.0,6350.0,6150.0,6325.0,66884800
2021-03-16,6325.0,6375.0,6200.0,6225.0,28069700
2021-03-17,6225.0,6225.0,6100.0,6100.0,22351700
2021-03-18,6200.0,6325.0,6150.0,6275.0,44144800
2021-03-19,6250.0,6275.0,6150.0,6150.0,29812800
2021-03-22,6175.0,6225.0,6075.0,6100.0,20258100
2021-03-23,6100.0,6200.0,6075.0,6100.0,19485500
2021-03-24,6050.0,6100.0,5950.0,5950.0,32249600
2021-03-25,6000.0,6000.0,5875.0,5900.0,23335700
2021-03-26,5975.0,6100.0,5900.0,6050.0,18941200
2021-03-29,6050.0,6150.0,6000.0,6050.0,17233700
2021-03-30,6000.0,6050.0,5775.0,5800.0,40316100
2021-03-31,5800.0,5850.0,5550.0,5725.0,43929700
2021-04-01,5725.0,5825.0,5625.0,5675.0,21304900
2021-04-05,5775.0,5800.0,5675.0,5750.0,14929300
2021-04-06,5800.0,5900.0,5750.0,5825.0,18007500
2021-04-07,5900.0,5900.0,5725.0,5775.0,17585000
2021-04-08,5750.0,5825.0,5725.0,5800.0,16236500
2021-04-09,5850.0,6100.0,5825.0,6000.0,49636200
2021-04-12,6025.0,6050.0,5825.0,5850.0,21854400
2021-04-13,5850.0,5875.0,5725.0,5800.0,18308500
2021-04-14,5825.0,5950.0,5800.0,5900.0,21324800
2021-04-15,5950.0,6025.0,5900.0,5975.0,17975900
2021-04-16,6025.0,6050.0,5875.0,5950.0,17665900
2021-04-19,5900.0,5975.0,5825.0,5875.0,11917800
2021-04-20,5875.0,5925.0,5800.0,5925.0,8272500
2021-04-21,5875.0,5875.0,5750.0,5775.0,13227700
2021-04-22,5800.0,5825.0,5650.0,5675.0,28608300
2021-04-23,5675.0,5800.0,5675.0,5775.0,18785800
2021-04-26,5850.0,5850.0,5700.0,5725.0,14881100
2021-04-27,5800.0,5900.0,5750.0,5900.0,30800700
2021-04-28,5900.0,5900.0,5800.0,5825.0,17430900
2021-04-29,5875.0,5925.0,5825.0,5875.0,11297100
2021-04-30,5875.0,5875.0,5650.0,5700.0,25905700
2021-05-03,5700.0,5725.0,5550.0,5575.0,23712200
2021-05-04,5575.0,5625.0,5525.0,5625.0,17240600
2021-05-05,5650.0,5725.0,5600.0,5675.0,19015900
2021-05-06,5750.0,5775.0,5675.0,5700.0,15392600
2021-05-07,5750.0,5750.0,5600.0,5600.0,14552500
2021-05-10,5600.0,5650.0,5550.0,5575.0,14191000
2021-05-11,5575.0,5575.0,5500.0,5525.0,12561400
2021-05-17,5575.0,5650.0,5450.0,5500.0,26889300
2021-05-18,5500.0,5550.0,5400.0,5450.0,13030600
2021-05-19,5400.0,5425.0,5200.0,5250.0,29198100
2021-05-20,5200.0,5325.0,5175.0,5250.0,23664700
2021-05-21,5300.0,5400.0,5250.0,5325.0,25857300
2021-05-24,5375.0,5375.0,5300.0,5300.0,14545100
2021-05-25,5300.0,5500.0,5300.0,5325.0,23942300
2021-05-27,5375.0,5500.0,5150.0,5150.0,80849500
2021-05-28,5275.0,5300.0,5200.0,5200.0,21585600
2021-05-31,5225.0,5500.0,5200.0,5400.0,34768100
