Date,Open,High,Low,Close,Volume
2020-01-02,1195.0,1210.0,1175.0,1210.0,2738700
2020-01-03,1210.0,1230.0,1210.0,1225.0,6196500
2020-01-06,1220.0,1255.0,1205.0,1235.0,9321000
2020-01-07,1245.0,1275.0,1235.0,1275.0,9192600
2020-01-08,1270.0,1270.0,1240.0,1245.0,6006900
2020-01-09,1245.0,1255.0,1230.0,1235.0,7766100
2020-01-10,1265.0,1290.0,1260.0,1265.0,15562000
2020-01-13,1290.0,1310.0,1270.0,1270.0,11119400
2020-01-14,1290.0,1300.0,1245.0,1245.0,11287000
2020-01-15,1240.0,1240.0,1200.0,1200.0,10375400
2020-01-16,1200.0,1220.0,1190.0,1200.0,9393200
2020-01-17,1215.0,1215.0,1200.0,1200.0,10560500
2020-01-20,1200.0,1215.0,1130.0,1135.0,4967700
2020-01-21,1135.0,1145.0,1110.0,1125.0,2846400
2020-01-22,1125.0,1135.0,1075.0,1080.0,3507000
2020-01-23,1070.0,1110.0,1055.0,1085.0,3479500
2020-01-24,1100.0,1110.0,1075.0,1085.0,1570200
2020-01-27,1085.0,1085.0,1005.0,1010.0,4633100
2020-01-28,990.0,1045.0,955.0,1030.0,5464700
2020-01-29,1050.0,1055.0,1005.0,1005.0,3924000
2020-01-30,1010.0,1015.0,980.0,980.0,3272500
2020-01-31,975.0,990.0,935.0,960.0,7273800
2020-02-03,945.0,965.0,885.0,915.0,4848400
2020-02-04,915.0,950.0,900.0,900.0,3675000
2020-02-05,925.0,945.0,900.0,905.0,5039800
2020-02-06,910.0,935.0,910.0,925.0,1895600
2020-02-07,925.0,935.0,915.0,915.0,1515700
2020-02-10,910.0,915.0,840.0,845.0,7665500
2020-02-11,850.0,860.0,825.0,855.0,4891400
2020-02-12,860.0,875.0,850.0,855.0,3190500
2020-02-13,850.0,865.0,805.0,820.0,3297700
2020-02-14,825.0,830.0,795.0,805.0,3449300
2020-02-17,805.0,805.0,775.0,800.0,3338200
2020-02-18,800.0,850.0,800.0,850.0,5959600
2020-02-19,850.0,880.0,825.0,860.0,4536200
2020-02-20,865.0,940.0,860.0,935.0,10250500
2020-02-21,935.0,935.0,900.0,915.0,8329100
2020-02-24,915.0,915.0,860.0,860.0,4296400
2020-02-25,860.0,885.0,835.0,865.0,2947300
2020-02-26,865.0,870.0,810.0,820.0,3346900
2020-02-27,820.0,835.0,760.0,770.0,5182400
2020-02-28,750.0,750.0,685.0,750.0,9644900
2020-03-02,750.0,790.0,710.0,715.0,4627400
2020-03-03,740.0,760.0,730.0,755.0,3588000
2020-03-04,765.0,805.0,745.0,785.0,5104000
2020-03-05,795.0,825.0,760.0,760.0,4098900
2020-03-06,765.0,765.0,725.0,740.0,1766600
2020-03-09,740.0,740.0,610.0,610.0,7536900
2020-03-10,590.0,645.0,590.0,630.0,4805100
2020-03-11,640.0,640.0,580.0,595.0,3595400
2020-03-12,575.0,580.0,540.0,540.0,4827300
2020-03-13,505.0,540.0,505.0,515.0,5475100
2020-03-16,505.0,515.0,480.0,480.0,3127900
2020-03-17,456.0,476.0,448.0,448.0,2972500
2020-03-18,446.0,446.0,418.0,418.0,2958900
2020-03-19,390.0,400.0,390.0,390.0,5502800
2020-03-20,386.0,486.0,364.0,486.0,17599000
2020-03-23,486.0,575.0,452.0,480.0,24647000
2020-03-24,490.0,555.0,484.0,530.0,11677400
2020-03-26,570.0,645.0,560.0,625.0,17166800
2020-03-27,675.0,780.0,655.0,730.0,21761100
2020-03-30,700.0,700.0,680.0,680.0,5678700
2020-03-31,690.0,740.0,660.0,695.0,6609100
2020-04-01,700.0,790.0,660.0,725.0,9040300
